fileId,fileUrls from query MOD13Q1--6 2007-10-01..2017-12-31 x-78.4y18.5 x-77.5y17.8[4],size
1882531416,/archive/allData/6/MOD13Q1/2007/273/MOD13Q1.A2007273.h10v07.006.2015167045634.hdf,24122329
1885820395,/archive/allData/6/MOD13Q1/2007/289/MOD13Q1.A2007289.h10v07.006.2015167192726.hdf,23899684
1887206065,/archive/allData/6/MOD13Q1/2007/305/MOD13Q1.A2007305.h10v07.006.2015168083046.hdf,23247623
1887282369,/archive/allData/6/MOD13Q1/2007/321/MOD13Q1.A2007321.h10v07.006.2015168093537.hdf,22427584
1891503058,/archive/allData/6/MOD13Q1/2007/337/MOD13Q1.A2007337.h10v07.006.2015169033847.hdf,22410151
1891933706,/archive/allData/6/MOD13Q1/2007/353/MOD13Q1.A2007353.h10v07.006.2017285170016.hdf,22750760
1892195126,/archive/allData/6/MOD13Q1/2008/001/MOD13Q1.A2008001.h10v07.006.2015169101829.hdf,21893532
1894984859,/archive/allData/6/MOD13Q1/2008/017/MOD13Q1.A2008017.h10v07.006.2015170041325.hdf,21671420
1894995305,/archive/allData/6/MOD13Q1/2008/033/MOD13Q1.A2008033.h10v07.006.2015170042652.hdf,22684812
1902550503,/archive/allData/6/MOD13Q1/2008/049/MOD13Q1.A2008049.h10v07.006.2015172131037.hdf,22511246
1902988138,/archive/allData/6/MOD13Q1/2008/065/MOD13Q1.A2008065.h10v07.006.2015172180401.hdf,22475930
1904063461,/archive/allData/6/MOD13Q1/2008/081/MOD13Q1.A2008081.h10v07.006.2015173012727.hdf,23826507
1905226887,/archive/allData/6/MOD13Q1/2008/097/MOD13Q1.A2008097.h10v07.006.2015173053722.hdf,23101685
1906221276,/archive/allData/6/MOD13Q1/2008/113/MOD13Q1.A2008113.h10v07.006.2015173161505.hdf,24424895
1910868113,/archive/allData/6/MOD13Q1/2008/129/MOD13Q1.A2008129.h10v07.006.2015175090853.hdf,22887994
1910937534,/archive/allData/6/MOD13Q1/2008/145/MOD13Q1.A2008145.h10v07.006.2015175104518.hdf,23473607
1914276477,/archive/allData/6/MOD13Q1/2008/161/MOD13Q1.A2008161.h10v07.006.2015176070050.hdf,23338731
1914293991,/archive/allData/6/MOD13Q1/2008/177/MOD13Q1.A2008177.h10v07.006.2015176070857.hdf,23358242
1917631592,/archive/allData/6/MOD13Q1/2008/193/MOD13Q1.A2008193.h10v07.006.2015177041048.hdf,22692476
1917772546,/archive/allData/6/MOD13Q1/2008/209/MOD13Q1.A2008209.h10v07.006.2015177044142.hdf,21980654
1923789216,/archive/allData/6/MOD13Q1/2008/225/MOD13Q1.A2008225.h10v07.006.2015178164645.hdf,22881961
1926305679,/archive/allData/6/MOD13Q1/2008/241/MOD13Q1.A2008241.h10v07.006.2015179220039.hdf,21964190
1926330292,/archive/allData/6/MOD13Q1/2008/257/MOD13Q1.A2008257.h10v07.006.2015179220307.hdf,23166676
1930268987,/archive/allData/6/MOD13Q1/2008/273/MOD13Q1.A2008273.h10v07.006.2015180221647.hdf,24112379
1930329304,/archive/allData/6/MOD13Q1/2008/289/MOD13Q1.A2008289.h10v07.006.2015180222437.hdf,23213988
1932319133,/archive/allData/6/MOD13Q1/2008/305/MOD13Q1.A2008305.h10v07.006.2015181141731.hdf,23998725
1932336111,/archive/allData/6/MOD13Q1/2008/321/MOD13Q1.A2008321.h10v07.006.2015181142536.hdf,24166724
1939191815,/archive/allData/6/MOD13Q1/2008/337/MOD13Q1.A2008337.h10v07.006.2015184002859.hdf,21992919
1944808264,/archive/allData/6/MOD13Q1/2008/353/MOD13Q1.A2008353.h10v07.006.2015186060243.hdf,22734866
1944870546,/archive/allData/6/MOD13Q1/2009/001/MOD13Q1.A2009001.h10v07.006.2015186062458.hdf,22067902
1944871147,/archive/allData/6/MOD13Q1/2009/017/MOD13Q1.A2009017.h10v07.006.2015186062443.hdf,22568096
1947365078,/archive/allData/6/MOD13Q1/2009/049/MOD13Q1.A2009049.h10v07.006.2015187062125.hdf,22269125
1947399268,/archive/allData/6/MOD13Q1/2009/033/MOD13Q1.A2009033.h10v07.006.2015187064304.hdf,22564558
1951527909,/archive/allData/6/MOD13Q1/2009/081/MOD13Q1.A2009081.h10v07.006.2015188084848.hdf,22534436
1951540364,/archive/allData/6/MOD13Q1/2009/065/MOD13Q1.A2009065.h10v07.006.2015188085430.hdf,23423347
